sigla;nome;cred_aula;cred_trabalho;ch_total
ACH0511;Fundamentos da Educação Física e Saúde;4;0;60
ACH3047;Fundamentos da Gestão em Gerontologia;2;0;30
ACH2511;Fundamentos da Indústria Têxtil e Moda;2;0;30
ACH4511;Fundamentos de Administração;4;0;60
ACH1564;Fundamentos de Administração e Marketing do Turismo;4;0;60
ACH1056;Fundamentos de Cartografia;2;1;60
ACH1014;Fundamentos de Física;4;1;90
ACH4501;Fundamentos de Marketing;4;0;60
ACH2014;Fundamentos de Sistemas de Informação;4;2;120
ACH2014;Fundamentos de Sistemas de Informação;4;2;120
ACH2086;Fundamentos de Sistemas Hipermídia e Web;4;2;120
ACH1541;Fundamentos do Lazer;4;0;60
ACH1501;Fundamentos do Lazer I;2;0;30
ACH1502;Fundamentos do Lazer II;2;0;30
ACH0506;Fundamentos do Treinamento Físico;4;0;60
ACH1511;Fundamentos do Turismo I;2;0;30
ACH1512;Fundamentos do Turismo II;2;0;30
ACH0617;Fundamentos Teórico-Práticos do Treinamento de Força;4;0;60
ACH5061;Gênero, Sexualidade e Direitos Humanos;4;0;60
ACH5554;Genética Geral e Molecular;6;0;90
ACH4157;Genética Molecular;2;0;30
ACH1027;Geotecnia Ambiental;2;1;60
ACH3037;Gerontologia Educacional;2;0;30
ACH1074;Gestão Ambiental;6;2;150
ACH3066;Gestão de Atenção em Gerontologia: Gestão de Casos;2;1;60
ACH4535;Gestão de Canais de Distribuição e Logística;4;0;60
ACH4564;Gestão de Comunicação Integrada de Marketing;4;0;60
ACH3717;Gestão de Custos no Setor Público;4;0;60
ACH4516;Gestão de Marcas;2;0;30
ACH5537;Gestão de Negócios;2;0;30
ACH4555;Gestão de Novos Produtos;2;0;30
ACH4544;Gestão de Operações;2;0;30
ACH3817;Gestão de Organizações do Terceiro Setor;4;0;60
ACH3626;Gestão de Organizações sem Fins Lucrativos;2;0;30
ACH3075;Gestão de Pessoas;2;0;30
ACH3568;Gestão de Políticas Públicas em Cooperativismo Social;2;0;30
ACH3518;Gestão de Políticas Públicas em Perspectiva Comparada (América Latina);2;0;30
ACH4525;Gestão de Preços;4;0;60
ACH2067;Gestão de Processos de Negócio;4;0;60
ACH3515;Gestão de Processos e Tecnologia da Informação;4;0;60
ACH4554;Gestão de Produtos;4;0;60
ACH4606;Gestão de Produtos e Novos Produtos;4;0;60
ACH2027;Gestão de Projetos de Tecnologia da Informação;4;0;60
ACH3085;Gestão de Projetos em Gerontologia;2;1;60
ACH1046;Gestão de Recursos Hídricos;2;1;60
ACH3595;Gestão de Recursos Humanos;2;0;30
ACH1516;Gestão de Serviços em Alimentos e Bebidas;4;0;60
ACH4506;Gestão de Vendas;4;0;60
ACH2537;Gestão e Controle da Qualidade;2;0;30
ACH0508;Gestão e Políticas Públicas em Atividade Física;4;0;60
ACH1565;Gestão e Promoção de Eventos no Lazer e Turismo;2;2;90
ACH2078;Gestão Empresarial;4;0;60
ACH2555;Gestão Empresarial;2;0;30
ACH4574;Gestão Estratégica;2;0;30
ACH3696;Gestão Pública Participativa;2;0;30
ACH4547;Gestão Simulada de Marketing;4;0;60
ACH4548;Gestão Simulada Empresarial;4;0;60
ACH3748;Gestão Social;4;0;60
ACH1077;Gestão Sustentável de Resíduos Sólidos;3;1;75
ACH0583;Ginástica para Todos;2;1;60
ACH3706;Globalização e Políticas Públicas;2;0;30
ACH3526;Governança das Organizações Públicas;4;0;60
