sigla;nome;cred_aula;cred_trabalho;ch_total
ACH0508;Gestao e Politicas Publicas em Atividade Fisica;4;0;60
ACH1565;Gestao e Promocao de Eventos no Lazer e Turismo;2;2;90
ACH2078;Gestao Empresarial;4;0;60
ACH2555;Gestao Empresarial;2;0;30
ACH4574;Gestao Estrategica;2;0;30
ACH3696;Gestao Publica Participativa;2;0;30
ACH4547;Gestao Simulada de Marketing;4;0;60
ACH4548;Gestao Simulada Empresarial;4;0;60
ACH3748;Gestao Social;4;0;60
ACH1077;Gestao Sustentavel de Residuos Solidos;3;1;75
ACH0583;Ginastica para Todos;2;1;60
ACH3706;Globalizacao e Politicas Publicas;2;0;30
ACH3526;Governanca das Organizacoes Publicas;4;0;60
ACH2127;Governanca de Tecnologia da Informacao;4;2;120
ACH3778;Governo Aberto;4;2;120
ACH3638;Governo Eletrônico e Promocao da Cidadania;2;0;30
ACH3107;Habitacao e a Cidade para o Envelhecimento;2;0;30
ACH2668;Historia da Arte Contemporânea;2;0;30
ACH1533;Historia da Cultura, do Lazer e Turismo;2;0;30
ACH4105;Historia da Escola no Brasil;4;0;60
ACH2533;Historia da Moda e da Indumentaria;4;0;60
ACH4007;Historia da Terra e Evolucao Biologica;2;0;30
ACH2531;Historia das Artes;2;0;30
ACH2677;Historia das Artes Visuais;2;0;30
ACH4044;Historia e Filosofia da Ciencia;4;0;60
ACH0501;Historia e Filosofia da Educacao Fisica;4;0;60
ACH4063;Historia Natural;2;0;30
ACH5009;Historia Social da Crianca e da Familia;2;0;30
ACH1563;Hospitalidade;4;0;60
ACH1534;Impactos Socio-Econômicos do Lazer e Turismo;4;0;60
ACH3535;Indicadores de Politicas Publicas;2;0;30
ACH3616;Indicadores de Politicas Publicas Avancados;2;0;30
ACH3104;Indicadores e Medicoes como Ferramentas de Gestao;2;0;30
ACH4513;Inferencia Estatistica;4;0;60
ACH1167;Infraestrutura de Dados Espaciais para Gestao Ambiental;2;0;30
ACH4087;Iniciacao a Pesquisa em Biologia Vegetal;2;2;90
ACH1575;Inovacao em Servicos de Lazer e Turismo;2;0;30
ACH2758;Inovacao em Textil e Moda;2;0;30
ACH3594;Instituicoes Politicas Brasileiras;2;0;30
ACH2016;Inteligencia Artificial;4;2;120
ACH2016;Inteligencia Artificial;4;2;120
ACH1626;Intervencoes e Estudos sobre o Campo da Educacao nao Formal;2;2;90
ACH1576;Intervencoes Profissionais em Lazer;4;0;60
ACH1606;Intervencoes Profissionais em Lazer - Lazer Comunitario;4;0;60
ACH1566;Intervencoes Profissionais em Turismo;4;0;60
ACH1596;Intervencoes Profissionais em Turismo - Empreendimentos Turisticos e Desenvolvimento Municipal;4;0;60
ACH1586;Intervencoes Profissionais em Turismo Vivencias de Turismo Emissivo e Receptivo;4;0;60
ACH3087;Introducao a abordagem biopsicossocial da dor;2;0;30
ACH3541;Introducao a Administracao;2;0;30
ACH2035;Introducao a Administracao para Computacao;2;0;30
ACH2002;Introducao a Analise de Algoritmos;4;2;120
ACH2002;Introducao a Analise de Algoritmos;4;2;120
ACH1002;Introducao a Biologia;2;0;30
ACH5501;Introducao a Biotecnologia;4;0;60
ACH2177;Introducao a Ciencia de Dados;4;2;120
ACH5531;Introducao a Computacao;2;0;30
ACH2778;Introducao a Conservacao Preventiva de Texteis;4;0;60
ACH3583;Introducao a Contabilidade e Orcamento Publico;2;0;30
ACH3603;Introducao a Contabilidade, ao Orcamento Publico e a Administracao Financeira;6;0;90
